track_id,true_subgenre,subgenre_centroid_assignment,kmeans_cluster_assignment
Chill House/Ape_Drums_-_Nobody_Knows_ft_Clementine_Douglas_Belters_Only_Remix,Chill House,Chill House,3
Chill House/Calvin_Harris_Clementine_Douglas_-_Blessings_Official_Visualiser,Chill House,Chill House,2
Chill House/Doverstreet_-_THANK_YOU_Official_Video,Chill House,Emotional Techno,4
Chill House/Duke_Dumont_Zak_Abel_-_The_Power_Extended_Mix,Chill House,Chill House,3
Chill House/Eli_Fur_-_Youre_So_High,Chill House,Chill House,3
Chill House/Flume_-_Say_Nothing_Tchami_Remix,Chill House,Chill House,2
Chill House/Frank_Ocean_-_Lost_Gabss_e_Vintage_Culture_Edit,Chill House,Chill House,3
Chill House/Galantis_-_Runaway_U_I_RobbieG_Remix,Chill House,Party House,3
Chill House/Harrison_-_WHATEVER_YOU_LIKE_feat_MVRII_Official_Video,Chill House,Chill House,3
Chill House/Jay_Dunham_-_Summer_On_My_Mind_Elli_Eli_Remix_Original_Version,Chill House,Chill House,3
Chill House/John_Legend_-_All_Of_Me_Kungs_Noah_Cover,Chill House,Chill House,2
Chill House/Kllo_-_Walls_To_Build_Mall_Grab_Remix,Chill House,Chill House,3
Chill House/Love_Me_Better_Nico_Pusch_Remix,Chill House,Chill House,2
Chill House/Love_The_Lows,Chill House,Chill House,3
Chill House/Matvei_-_GET_LOST,Chill House,Dark Techno,0
Chill House/Michael_Calfan_-_Bittersweet,Chill House,Chill House,2
Chill House/Nights_Out,Chill House,Chill House,3
Chill House/Oden_Fatzo_Lauren_Official_Visualiser_Ministry_of_Sound,Chill House,Funky House,5
Chill House/Ona_Ona,Chill House,Chill House,2
Chill House/Riordan_-_Reflection_Official_Audio,Chill House,Chill House,2
Chill House/Shermanology_Guitarra_Audio_Only,Chill House,Chill House,2
Chill House/Sister_Singh_My_Love_Is_Serious_Inner_City_Club_Mix_-_ZYX_7163-12_1993,Chill House,Funky House,5
Chill House/Start_Movin,Chill House,Funky House,5
Chill House/Thats_Where_I_Should_Be_Extended,Chill House,Chill House,3
Chill House/Water,Chill House,Chill House,2
Chill House/WHTKD_-_Say_To_Me,Chill House,Chill House,2
Dark Techno/753_-_Where_is_The_Heaven_Official_Videoclip,Dark Techno,Dark Techno,0
Dark Techno/Amstra_-_Ghost_Ravers,Dark Techno,Dark Techno,0
Dark Techno/Coyu_-_Flangerism_Original_Mix,Dark Techno,Dark Techno,0
Dark Techno/Cryptik_aka_Johannes_Heil_-_Source_Code,Dark Techno,Dark Techno,0
Dark Techno/Daydream,Dark Techno,Dark Techno,0
Dark Techno/Digesting_the_Reality,Dark Techno,Dark Techno,0
Dark Techno/Dusty_Kid_-_Pantagruel_Original_Mix_Suara,Dark Techno,Dark Techno,0
Dark Techno/Dusty_Kid_-_Sysma_Original_Mix_Suara,Dark Techno,Dark Techno,0
Dark Techno/ECHOES_Orignal_Mix,Dark Techno,Party Techno,1
Dark Techno/Ekvsiani_-_Rainy_Autumn,Dark Techno,Party Techno,1
Dark Techno/Emotional_2023_Edit,Dark Techno,Party Techno,1
Dark Techno/Ephaze_-_Tkivili_GATE003VA,Dark Techno,Dark Techno,0
Dark Techno/Further,Dark Techno,Party Techno,1
Dark Techno/Greg_Notill_Vince_Weyn_-_Far_Out_Distance_Original_Mix,Dark Techno,Dark Techno,0
Dark Techno/HNGT_Techmo_-_Dream_Machine,Dark Techno,Dark Techno,0
Dark Techno/Kobosil_-_Avernian_O-TON91,Dark Techno,Dark Techno,4
Dark Techno/Lee_Ann_Roberts_-_Alter_Ego_Lokier_Remix,Dark Techno,Dark Techno,0
Dark Techno/Luca_Eck_feat_Benzii_-_Ghost_Town_COUP016,Dark Techno,Dark Techno,0
Dark Techno/Mehen_-_Skin_Confessions_Straight_Binary_Version_HOXA-8,Dark Techno,Dark Techno,0
Dark Techno/Never_Ending_Journey,Dark Techno,Dark Techno,0
Dark Techno/Niki_Istrefi_-_Red_Armor_EUROMANTIC001,Dark Techno,Dark Techno,0
Dark Techno/Ostwarts,Dark Techno,Party Techno,1
Dark Techno/Rigid_Kobosil_44_Rush_Mix,Dark Techno,Party Techno,1
Dark Techno/Sara_Parkman_-_Full_ThrottlePaula_Temple_Remix,Dark Techno,Dark Techno,0
Dark Techno/Source_Code,Dark Techno,Dark Techno,0
Dark Techno/Tkivilsaari_-_kkeut,Dark Techno,Dark Techno,0
Dark Techno/Trimmed,Dark Techno,Dark Techno,0
Dark Techno/Trym_-_Mariner_9_WarinD_Remix_WR010,Dark Techno,Dark Techno,0
Dark Techno/U25_-_Waiting_for_Nostalgia_UNV002,Dark Techno,Dark Techno,0
Dark Techno/UMBRAID_-_First_Love_Feeling_CRVA002,Dark Techno,Dark Techno,0
Emotional Techno/AAP_Rocky_-_Praise_The_Lord_Da_Shine_feat_Skepta_Durdenhauer_Edit_TECHNO_REMIX_TIKTOK_SONG,Emotional Techno,Party Techno,1
Emotional Techno/Akros_-_Loud_Enough,Emotional Techno,Emotional Techno,4
Emotional Techno/Alfred_Heinrichs_-_Electrify_Me_featHaexxa_-djLIVEmix,Emotional Techno,Emotional Techno,4
Emotional Techno/AVAION_-_Pieces,Emotional Techno,Chill House,3
Emotional Techno/BUNT_-_Clouds_Lyrics_ft_Nate_Traveller,Emotional Techno,Chill House,2
Emotional Techno/Butschi_x_Felix_Jaehn_x_Fairy_Mary_-_Atme_Ein_Atme_Rauch_Aus_Visualizer,Emotional Techno,Emotional Techno,4
Emotional Techno/Dominik_Saltevski_-_Sensual_on_Ecstasy_Sped_Up_Version,Emotional Techno,Party Techno,1
Emotional Techno/Empire_of_the_Sun_-_Walking_on_a_Dream_angst_Remix,Emotional Techno,Emotional Techno,4
Emotional Techno/IN_AND_OUT_OF_INFINITY,Emotional Techno,Emotional Techno,4
Emotional Techno/I_Like_The_Way_You_Kiss_Me,Emotional Techno,Party Techno,1
Emotional Techno/lonelysoul_x_KAMI_-_Miracle_Techno_Remix,Emotional Techno,Party Techno,1
Emotional Techno/MilleniumKid_x_JBS_x_The_Boy_The_G_-_Unendlichkeit_Remix,Emotional Techno,Party Techno,1
Emotional Techno/More_Than_You_Know,Emotional Techno,Emotional Techno,4
Emotional Techno/Nicolas_Julian_-_Sucker_Official_Visualizer,Emotional Techno,Party Techno,1
Emotional Techno/Niklas_Dee_-_Around_The_World_feat_Rene_Miller_Official_Lyric_Visualizer,Emotional Techno,Party Techno,1
Emotional Techno/Odymel_-_My_Favourite_Game_Visualizer,Emotional Techno,Party Techno,1
Emotional Techno/Onlynumbers_ft_Lucie_Hart_-_Euphoric_Night_Tiesto_Edit_Ultra_Music_Festival_Miami_2025,Emotional Techno,Dark Techno,0
Emotional Techno/Outside_PET3RPUNX_2Hounds_TECHNO_KING_REMIX,Emotional Techno,Emotional Techno,4
Emotional Techno/Restricted_-_Big_Jet_Plane_Lyrics,Emotional Techno,Emotional Techno,4
Emotional Techno/southstar_-_Cover_Up_My_Face_Official_Visualizer,Emotional Techno,Dark Techno,0
Emotional Techno/Us_Two,Emotional Techno,Emotional Techno,4
Emotional Techno/Wave_KaaCee_Remix,Emotional Techno,Emotional Techno,4
Emotional Techno/Why_Do_You_Hate_Me,Emotional Techno,Emotional Techno,4
Emotional Techno/Would_You_Say_Yes,Emotional Techno,Party Techno,1
Funky House/Afro_Medusa_-_Pasilda_Knee_Deep_Mix,Funky House,Funky House,2
Funky House/Armand_van_Helden_A-Trak_present_Duck_Sauce_-_aNYway_Club_Mix,Funky House,Funky House,5
Funky House/Bellaire_-_Take_Five_Official_Audio,Funky House,Dark Techno,0
Funky House/Bellaire_Georges_-_Absolutely_Live_Session,Funky House,Emotional Techno,4
Funky House/Butch_Nic_Fanciulli_-_I_Want_You_Extended_Mix,Funky House,Chill House,2
Funky House/Disko_Madness_Extended_Mix,Funky House,Funky House,2
Funky House/DJ_burgerhead_-_Makes_Me_Wanna,Funky House,Funky House,5
Funky House/Engelwood_-_Groovy_Ahh,Funky House,Chill House,2
Funky House/Ethyene_-_Brotherly_Love,Funky House,Funky House,5
Funky House/F_The_Disco,Funky House,Funky House,5
Funky House/Gerry_Read_-_Itll_all_be_over_DJ_Koze_Remix_PAMPA033,Funky House,Chill House,2
Funky House/Holocene_Benjamin_Barth_-_No_Matter_What_Babert_Remix,Funky House,Chill House,2
Funky House/Just_Another_Piano_Solo_Original_Mix,Funky House,Chill House,2
Funky House/Just_Disco_Edit,Funky House,Funky House,5
Funky House/kryptogram_-_Woman_Like_You,Funky House,Funky House,5
Funky House/LF_SYSTEM_-_Lift_You_Up_Official_Visualiser,Funky House,Funky House,5
Funky House/Marshall_Jefferson_x_Solardo_-_Move_Your_Body_Ultra_Records,Funky House,Funky House,5
Funky House/Mike_Dunn_-_If_I_Cant_Get_Down_Mousse_Ts_Funky_Shizzle_Extended_Mix,Funky House,Chill House,2
