filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
Benzoo Ebrax - End Of The Day - Official.wav,394.69278911564624,2282.4655636749926,1641.2939813605672,2887.452174284534,1398.443544047432,0.036797134673647675,0.04143591029919514,0.2842477560043335,0.16448654234409332,139.6748310810811
Berg - See It Coming Extended Version.wav,282.3430385487528,2250.8913723729047,1356.1630892397584,2871.6491549659067,1215.1671611865402,0.03579912687602796,0.03208510854904574,0.2923581302165985,0.14182624220848083,139.6748310810811
Berg Ranji - Come Alive.wav,295.18367346938777,2387.1304777905907,1603.8588668607747,2953.3111923091064,1195.8561135060677,0.04190730575985212,0.046859963218571554,0.30151668190956116,0.1287342756986618,120.18531976744185
Blastoyz Skazi - Heart On The Tree Official Video.wav,173.05832199546487,2448.796321916501,1137.0351406993022,2908.600835671917,898.5314577307613,0.04875262434384853,0.03631929626448992,0.2876091003417969,0.15441450476646423,139.6748310810811
Cloud7 - Wonderland Cartoon Video.wav,350.6677551020408,2056.543137598402,1556.2709615208437,2524.687537744755,1279.9072933242937,0.03407386763366992,0.03846171487681331,0.3088516592979431,0.1754554957151413,139.6748310810811
Confess Radio Edit.wav,214.40145124716554,2047.8173526539647,1306.9805365331185,2687.2546545426057,1149.8582535503542,0.03723935066737059,0.04056019189012829,0.2768647074699402,0.19663864374160767,143.5546875
Djapatox Phenomenal Jilax - Big Jet Plane Extended Mix.wav,230.37678004535147,1991.8238432337357,1501.5570974703433,2798.511137711623,1402.7754185796512,0.028871437446457367,0.030086585583135803,0.3248285949230194,0.177761048078537,99.38401442307692
DZP Jilax - Formula Labrinth Flip.wav,267.22684807256235,1841.0886749351446,1149.6743530560918,2518.8735224632946,1152.755090416967,0.030200931404227128,0.0304220524771897,0.32442277669906616,0.18803857266902924,143.5546875
Ghost Rider - Majesty Static Movement Remix - Official.wav,471.1096598639456,1606.2515020959358,991.7043001773447,2370.258849266474,1054.0725601309916,0.0258092480485596,0.02159064184192155,0.3311469256877899,0.17172394692897797,139.6748310810811
Ghost Rider feat Kathy Brauer - Only One Official Lyrics Video.wav,220.821768707483,2055.439782912173,1452.1550128664562,2626.851455221854,1206.34387366703,0.039378531253285845,0.04384549467902184,0.25279736518859863,0.14980442821979523,139.6748310810811
Ghost Rider feat Kathy Brauer - When you fall Official Music Video.wav,268.3414058956916,1842.1816315514557,1289.6669802751787,2566.774281890028,1283.1032508891012,0.029932608146037033,0.030615952105497685,0.24242118000984192,0.15271171927452087,135.99917763157896
Ghost Rider Phaxe - Falling Extended.wav,515.8545124716553,2054.6619609193663,1230.1844165192833,2551.36355290811,1038.4773252146535,0.03980231208364279,0.03479344330350863,0.26430630683898926,0.1718141734600067,135.99917763157896
Ghost Rider Ranji - Cant sleep Official Lyrics Video.wav,200.16761904761904,2785.1458344298653,1464.591758276983,3353.4830511680357,954.4931372500022,0.05151794808824382,0.0558046704159577,0.2566606104373932,0.15742044150829315,129.19921875
Ghost Rider Ranji - Hope.wav,354.3481179138322,2046.0315015927176,1456.738396278568,2730.4481671268827,1134.1332485519688,0.03560565688274032,0.03943921451275311,0.2928837239742279,0.1539756953716278,143.5546875
Ghost Rider x Ranji - Freedom Official Lyrics Video.wav,237.3427664399093,1804.7495161407141,1275.6477449711049,2555.771835796527,1113.9827868210787,0.030036772517303367,0.03342369300569086,0.2540115714073181,0.14878836274147034,109.95678191489361
Ghost Rider x Ranji Major7 - Vicious Game Official Music Video Lyrics.wav,230.85278911564626,2168.4063716548603,1547.8561926817108,2826.656349689864,1221.4396211139267,0.03918449050792054,0.04772137140796232,0.23383571207523346,0.15830227732658386,139.6748310810811
Ghost Rider x Ranji x Reality Test - Your Secrets Extended Version Official.wav,330.4780045351474,1908.945009473592,1405.9251126035629,2615.375076186509,1158.5802737349538,0.03196923111123797,0.041135094648085714,0.24505615234375,0.16317084431648254,112.34714673913044
Jilax Rebugs - No Beef Miss Palmer Flip.wav,359.9209070294785,2067.386872534923,1355.5053713819768,2952.6520486647696,1294.9818919648646,0.03230320196076059,0.03238665436597482,0.31974953413009644,0.17980307340621948,139.6748310810811
Let You Go.wav,287.17278911564625,2511.2723188317873,1248.0036954765744,3057.4624017012898,964.9428703098652,0.04695143212322122,0.04024164602235005,0.2586526870727539,0.1583084762096405,143.5546875
Liquexx - Butterflies - Official.wav,269.94358276643993,2092.1377515939053,1415.7799975816808,2720.9868391099453,1350.5331791323486,0.037767080519955275,0.038176341103858064,0.27956047654151917,0.15003593266010284,143.5546875
Livre Pra Voar Radio Edit.wav,221.78539682539682,2260.9036678679254,1107.2048655950325,3225.5025036921297,850.550678578996,0.03030073463018216,0.027805411279623667,0.32009753584861755,0.1377692073583603,139.6748310810811
Morten Granau - Silence Official Audio.wav,431.7982766439909,1342.123464704473,977.6319222922559,1905.632992521881,1071.9873242902008,0.025075611191117952,0.020836188758754075,0.30214086174964905,0.1695161908864975,103.359375
Music Is My Remedy.wav,303.19455782312923,2689.4779726213324,1847.9571969806009,3010.1743949111,1258.6375355444275,0.05239809737086461,0.05990564729861704,0.27645015716552734,0.17030353844165802,139.6748310810811
Neelix - Shadows Official Video.wav,231.8164172335601,2626.301232303132,1612.3050643001245,3047.188163752942,1165.7407023454414,0.04964246505346054,0.05409585614331225,0.2446453869342804,0.18368665874004364,143.5546875
Neelix - You Official Audio.wav,267.79573696145127,2408.256334834015,1759.7182884718586,2979.336737947296,1333.73508513993,0.04273105501772012,0.05233241130847935,0.3029628396034241,0.17905470728874207,139.6748310810811
Neelix Caroline Harrison - There Was A Time Official Music Video.wav,311.7162811791383,1891.0981796122903,1157.0868753876798,2479.6748340997347,1003.8858721512468,0.03669003506168529,0.029246113009686735,0.20775073766708374,0.15214592218399048,135.99917763157896
Neelix Static Movement Caroline Harrison - Nobody Can Deny Official Audio.wav,238.6314739229025,1998.298871606766,1284.2117282496142,2561.096965608583,1171.9420471191388,0.03772424592556556,0.03524644338249464,0.2690780460834503,0.15931950509548187,135.99917763157896
Neelix Symphonix - Stupid as Fvck - Official.wav,430.0567800453515,2252.547898389395,1303.1013221286687,2865.0867160263842,1074.063801386223,0.04134840443032422,0.0431547863964483,0.21264973282814026,0.1658615916967392,139.6748310810811
No Beef.wav,359.9209070294785,2079.3237088774176,1361.783790837747,2962.8416855726327,1296.28743803418,0.03244866888628153,0.0325730098655521,0.3201510012149811,0.17986315488815308,139.6748310810811
Official - KingPink - Global Pulse Krama Remix.wav,385.4164172335601,2566.207965875485,1674.9124662759082,2894.1158511387184,1166.2829729491436,0.04978449320648081,0.05595462980175528,0.27708107233047485,0.15958422422409058,135.99917763157896
Only One Extended Mix.wav,276.9908390022676,1830.1186711196965,1450.7824918682463,2406.017776462504,1263.9732194055255,0.03477146169946351,0.04111653650562481,0.2677246928215027,0.1675744354724884,139.6748310810811
Phaxe Morten Granau - Beatless.wav,519.4187755102041,1903.5901715730154,1247.2931035690067,2418.4109734885287,1213.7187151357011,0.03269834215746536,0.032042976394377934,0.29204028844833374,0.1645471602678299,135.99917763157896
PSY-TRANCE Gotye - Somebody That I Used To Know BREEZY PAGELZ Remix feat Kimbra.wav,328.03990929705213,1706.3290496917805,1060.0953907966566,2547.411248327415,1010.4651962928544,0.025027680100023004,0.0248847510404079,0.3329416513442993,0.16535955667495728,139.6748310810811
Ranji Ghost Rider Berg - Lay Me Down Extended Version - Official.wav,278.5814058956916,1863.6197906274874,1408.0588069931334,2528.176699568237,1186.7248838698886,0.03134297203830847,0.04034106803689441,0.27414774894714355,0.1562800258398056,120.18531976744185
Ranji X Bingo Bango - The Road Im On Official Video Official Audio.wav,258.14784580498866,2596.1882389451034,1482.780882243339,3228.679486427083,1248.377329433983,0.04523670178005262,0.04270837321685188,0.28704676032066345,0.15422698855400085,139.6748310810811
Ranji x Ghost rider x Berg - Lay me down.wav,213.05469387755102,1822.3511789187608,1265.0215906236738,2455.2606084939634,1093.341481334694,0.03207168645617644,0.03775080437666415,0.25530463457107544,0.15072351694107056,135.99917763157896
Ranji X Invasion - Confess.wav,214.4130612244898,2136.8795741527597,1357.8260504866034,2771.717704201792,1149.122285424076,0.03965336023370242,0.04338064642758258,0.26836544275283813,0.18542562425136566,143.5546875
Save Me.wav,271.2787301587302,2989.3782106258163,1615.9866310456127,3367.6547199768506,1089.4452004012046,0.06174819690963752,0.0642369944556328,0.2696256637573242,0.16665636003017426,143.5546875
Schameleon - Not Scared Official Audio.wav,307.71083900226756,2728.560521536768,1836.9690020849423,3099.692082675712,1361.280403918925,0.05352850213992643,0.06380873869688512,0.2787405252456665,0.1584729254245758,139.6748310810811
Section303 - Distractions Original Mix - Official Audio.wav,377.4403628117914,1688.8986926194414,1413.011427757632,2295.9649626958526,1224.0457202205798,0.028594693791139922,0.034417893297705664,0.06562326848506927,0.03729456663131714,139.6748310810811
Static Movement vs Relaz Psymurai - I Am Official Video.wav,356.1012244897959,2135.3095141493955,1098.7439005474114,2815.4596477287837,893.12832741985,0.03473619727141949,0.027782127238989273,0.3042529821395874,0.15364442765712738,139.6748310810811
Symphonix - One Way - Official.wav,281.8438095238095,2184.0972308777177,1626.1227317021935,2562.738061666317,1412.5463155134373,0.03739246428589817,0.04275237660271142,0.29096317291259766,0.17794279754161835,143.5546875
Symphonix - Restless Soul - Official.wav,261.3057596371882,1800.129136164269,1558.1701030561517,2494.5124903893534,1344.3346933673186,0.02587215951689399,0.036522482317608886,0.30943018198013306,0.1534430980682373,143.5546875
Symphonix - Waking Life - Extended Version - Official.wav,286.98702947845806,2261.1831980317015,1561.9603094066827,2771.964076362284,1268.6340363135944,0.03915507986321804,0.04357429819618536,0.2857871353626251,0.16960644721984863,139.6748310810811
Symphonix Alegro - Moonlight Extended Version - Official.wav,375.8962358276644,1942.610867528434,1447.8951701919261,2609.5741135771523,1177.086505787941,0.031158339816001607,0.03614431155250316,0.3009052276611328,0.147447407245636,143.5546875
Symphonix Alegro - Moonlight Radio Version - Official.wav,215.46956916099774,2240.2266518278784,1469.3609481802785,2814.627854614889,1137.8806354905971,0.041521953714304956,0.043908434050540464,0.2921871840953827,0.1319226324558258,143.5546875
Symphonix Copy Paste - Become One - Official.wav,298.5853968253968,2073.545406634572,1634.303099898387,2580.234780723637,1304.52394793483,0.03141917742597885,0.039305564194986056,0.31115397810935974,0.17328016459941864,143.5546875
Symphonix Davee Ela - Dreaming High - Official.wav,285.16426303854877,2540.620671045503,1605.6172111012318,3107.791408766369,1416.354079284224,0.05129917043673411,0.05084173479917121,0.25584638118743896,0.1701071411371231,143.5546875
Symphonix Static Movement - Awakening Soul - Official.wav,335.73732426303854,1247.8909383653474,864.0321273224578,1858.920826781422,1009.7636662710083,0.0209455417232183,0.01804836266700332,0.30297359824180603,0.18443189561367035,139.6748310810811
Synergetic Emotion - Feeling Original Mix.wav,235.60126984126984,1967.9609090858066,1452.1211156189825,2490.094679852092,1367.1526888953224,0.03262995874704346,0.03546454523549089,0.3138676583766937,0.14062879979610443,139.6748310810811
The Way Youre With Me Original Mix.wav,388.78331065759636,1852.5504722570956,1560.653059918951,2367.500026486356,1358.0537578979697,0.03307081897806677,0.05300618943091234,0.25961095094680786,0.1660383939743042,143.5546875
Tropic Sound - Unexpected Official Audio.wav,291.0621315192744,1550.6651241139007,1166.134776908958,2032.120801150031,1180.680815587196,0.029245653282178614,0.02817422876316775,0.27219903469085693,0.19254745543003082,139.6748310810811
Universe.wav,225.1522902494331,1619.7119846379685,1527.0650762300595,2262.0023676891938,1477.586588113893,0.021376718476075075,0.026642100058756932,0.28330162167549133,0.13499028980731964,143.5546875
Vini Vici Berg - Sweet Harmony.wav,179.5482993197279,2025.2167439425255,1218.5129073321236,2780.389626471012,1061.044768053172,0.03136324614274861,0.028256457272216734,0.29499366879463196,0.15264415740966797,135.99917763157896
