filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
303 Sound Of The Underground.wav,180.49066666666667,4100.022669885202,1676.7206786795332,4498.635510587056,1116.5055553596846,0.0738041351033418,0.06029303401527991,0.2194899618625641,0.12036531418561935,148.02631578947367
AAP Rocky - Praise The Lord Da Shine feat Skepta Durdenhauer Edit TECHNO REMIX TIKTOK SONG.wav,160.27733333333333,2017.5548322169395,1271.9813053141424,2521.690810202955,1037.691755746538,0.03490604931955813,0.033725873784591145,0.3214873671531677,0.14509595930576324,148.02631578947367
Abr - Flower Shop ABR061.wav,373.3333333333333,2468.522337907462,1693.7115382244583,2978.6792167044623,1298.109921010369,0.041598155789298874,0.04591060536496257,0.2988729476928711,0.1537967324256897,160.71428571428572
Akros - Loud Enough.wav,158.464,2333.552378272949,1498.4732591572008,3051.6576394746685,1270.3508329683389,0.038803323454432256,0.03439521072199653,0.19105690717697144,0.10228099673986435,148.02631578947367
Alfred Heinrichs - Electrify Me featHaexxa -djLIVEmix.wav,258.048,2663.370270575312,2174.0224330413066,3122.142739704728,1472.1143556703703,0.03981921181359278,0.04679491212490457,0.12233512103557587,0.08458824455738068,148.02631578947367
All The Things She Said PET3RPUNX Hypertechno Remix.wav,180.62933333333334,3554.9104061013377,1316.9326239478798,3940.6613197657316,670.1083858095542,0.0721579926465161,0.05246401143045158,0.24403169751167297,0.12513035535812378,156.25
Almost There.wav,160.21333333333334,2160.5504226781127,1471.5561828050368,2740.0423103127164,1394.5552989979649,0.03398809375208042,0.03162607010108135,0.1789359748363495,0.10480581223964691,156.25
Alok Ely Oaks Tsunami.wav,133.152,2547.1481668654183,1214.2269332419764,3532.857152938566,1041.001756930252,0.0364272127698454,0.027789345845549998,0.3445848226547241,0.14127369225025177,137.1951219512195
Amelie Lens - Breathe.wav,221.58933333333334,2571.268316102808,1436.748778921707,3276.910767337165,1112.8648277008347,0.0370226242854994,0.033089173714222805,0.32047855854034424,0.14495137333869934,148.02631578947367
ARMA x TRYM - In My Mind.wav,166.44266666666667,4445.276272678238,1619.0947885707326,4341.9256358512675,943.608724308413,0.08972394039370395,0.06584836900889149,0.3123733103275299,0.15678797662258148,148.02631578947367
ART DECO TEKKNO SPED UP.wav,146.06933333333333,2271.981684912865,1191.1395142700464,3272.218038011918,1104.2153044827007,0.031674211048740415,0.025962172103241726,0.3355666399002075,0.11586970090866089,100.44642857142857
AVAION - Pieces.wav,192.33066666666667,1347.3830224439148,1082.7932054281116,2127.237733213074,1222.061045280481,0.022639439607364684,0.023161497679111805,0.1756719946861267,0.12618045508861542,119.68085106382979
Bisken - Mad World Official Lyric Video.wav,114.93333333333334,2837.7998132684093,1333.8772342360817,3908.3583930238237,800.554648696911,0.038793301883235896,0.03701551561051138,0.2979622781276703,0.17833246290683746,144.23076923076923
Bisken Millows - Hit The Road Jack Ray Charles - Hit The Road Jack Cover.wav,125.00266666666667,3147.9464296451265,1275.3881455091819,3675.8813966354273,895.9853559663901,0.051497215297034986,0.03950404828053015,0.24922417104244232,0.12874963879585266,170.45454545454547
BUNT - Clouds Lyrics ft Nate Traveller.wav,156.416,2856.619532744149,1254.568472665034,3570.842515837066,1067.937130223483,0.045927571226133654,0.030644947605863206,0.22508983314037323,0.11775825917720795,130.8139534883721
Butschi x Felix Jaehn x Fairy Mary - Atme Ein Atme Rauch Aus Visualizer.wav,344.1813333333333,2578.9965630106826,1389.341872361525,3160.2152284301187,1036.8389886011769,0.04357292768280495,0.03925314714807885,0.1695212423801422,0.064298115670681,156.25
CHILL DROGE.wav,171.85066666666665,1216.8121535853975,1249.4912575227918,1988.5723165521808,1398.5072167718884,0.015807772108909508,0.017563749870813477,0.29785916209220886,0.1607130914926529,112.5
COLOUR MY HEART.wav,201.16266666666667,2799.0893289391674,1140.9878339968448,3390.5101446775348,693.8138801116086,0.04688149833476935,0.036719193503738236,0.3280137777328491,0.15263864398002625,133.92857142857142
Contec Lina Maly - Als du gingst edit.wav,236.43733333333333,2669.1169458311433,1432.875351600839,3239.035492751788,1230.9236476008555,0.04729752947794018,0.039209794739862046,0.30582261085510254,0.15736182034015656,156.25
Creepin - Sped Up Version.wav,105.96266666666666,3418.650727421282,1380.1602991419322,4205.300826237078,842.572594912681,0.05175977840337192,0.04772076636645488,0.3255678117275238,0.12889474630355835,110.29411764705883
DJ Kuba Neitan x RAVEKINGS - Renaissance Official Audio.wav,165.57866666666666,3131.610797002612,1132.2138578688985,3610.5168955339345,931.8644227744153,0.05485115159390299,0.035884420748619396,0.32397645711898804,0.16014207899570465,137.1951219512195
Dominik Saltevski - Sensual on Ecstasy Sped Up Version.wav,323.1573333333333,4363.908830665388,1799.5941129200194,4372.604270282594,883.3375324768901,0.0692801422170512,0.05414444172556647,0.33601972460746765,0.12984345853328705,152.02702702702703
Eigentlich Trance Version.wav,288.2133333333333,2694.528587021471,1469.0782654609932,3332.8235276160467,1321.4690217519967,0.03704170121734022,0.03583059339531922,0.357154905796051,0.12865063548088074,110.29411764705883
Eminem - Sorry Mama theycallmebawiu.wav,207.17866666666666,2104.4127171164164,1592.0456724034527,2699.7123448668394,1362.171369873544,0.036443141579038815,0.04319041409916884,0.30482402443885803,0.17242325842380524,148.02631578947367
Empire of the Sun - Walking on a Dream angst Remix.wav,256.6933333333333,3127.389450067685,1359.3983210658005,3467.9624556069384,954.4303488422252,0.060121125238926286,0.04967862463765166,0.24649713933467865,0.1252184808254242,148.02631578947367
EXCLUSIVE Abr - Hells River feat Sandrse No Mercy.wav,256.3093333333333,1480.4142243274387,1047.1069023715472,2201.2491418684294,1167.9631329038502,0.024284646633114856,0.018936419979491706,0.2786448299884796,0.11971007287502289,144.23076923076923
Falkors Return.wav,179.328,3100.2648708182924,2258.7958282686272,3172.6734790896003,1632.8820991160105,0.06745309386709689,0.06480864470008059,0.3110017776489258,0.20854003727436066,148.02631578947367
Feel Alive.wav,226.72,2168.396142849545,1465.8187768237815,3017.1361229568797,1291.1712627085046,0.02861035009232687,0.031162158820989355,0.29353225231170654,0.12008089572191238,102.27272727272727
FoxTune - YOU MAKE ME FEEL ALIVE.wav,207.91466666666668,2558.7908602604334,1431.247882092486,3262.3771765267534,1058.020067997722,0.041752468033396606,0.038081086682588354,0.2854728698730469,0.15616019070148468,148.02631578947367
Funk Tribu - DR34M.wav,181.97333333333333,2090.7032304151476,1784.3229794343158,2892.2228441756547,1545.5470227904334,0.032530103379051635,0.03210724157774015,0.2324836701154709,0.20838111639022827,148.02631578947367
Funk Tribu - I Got It For You.wav,209.76,2070.057240896393,1480.8924078522484,2797.9986326717335,1323.8922630453887,0.030571630208863013,0.02865537100358751,0.2563447654247284,0.12778513133525848,148.02631578947367
Girl in red - I wanna be your girlfriend techno remix by Dj Brice.wav,316.02133333333336,2356.502370758942,1029.5747683626678,3104.114236937895,866.2152218274166,0.029843546302273188,0.023476408992368143,0.28539326786994934,0.11680754274129868,140.625
Gonzi Creeds - DONKERS.wav,300.0853333333333,3609.429032929731,1818.1397843975915,4019.8777260430325,1412.0599064754847,0.05621822544563517,0.05339246986634565,0.37329256534576416,0.17398622632026672,160.71428571428572
Gusted - Jet Plane.wav,211.83754166666668,2741.195890588783,1575.8650844145218,3295.797200203897,1132.4804419083705,0.04566922067755539,0.049765667968843685,0.2735064625740051,0.13486331701278687,144.23076923076923
High Beam - Just What I Said Everything In Its Right Place.wav,194.528,1382.3886266460581,1136.5830368973666,2129.5188270298854,1272.3915279355424,0.020708929330244544,0.023290506565060428,0.2966967225074768,0.12214343249797821,125.0
I Like The Way You Kiss Me.wav,101.06666666666666,1897.1749046689395,1312.6293671284282,3052.830622653304,1239.2912820972851,0.02284466802646159,0.023446316258215447,0.31450188159942627,0.21461209654808044,152.02702702702703
IN AND OUT OF INFINITY.wav,141.17333333333335,1827.5773460703135,1304.8507062489077,2404.084151141701,1104.5929556232493,0.033997190722744784,0.0367929577759738,0.33398985862731934,0.1866908222436905,148.02631578947367
JOG FUTURE REMIX 98 DJ GHC REMIX.wav,250.048,2053.455415807648,1725.3088683815015,2705.7541077831183,1214.9890292705577,0.03366762016513458,0.04727451044598517,0.26841768622398376,0.13032543659210205,148.02631578947367
Kevin DAngello - The Oldskool Vibe.wav,140.78933333333333,2384.9080762708827,1508.8853405183438,3060.807361972296,1204.4259355415047,0.041887428977272725,0.04011690355101565,0.2895675599575043,0.14373674988746643,119.68085106382979
Klatschkind - Mein Lied Album Seelenficker.wav,199.76533333333333,3239.718362872819,1629.2325729676268,3588.550662725089,1119.0815169613054,0.04946501018640878,0.043123205214453106,0.16832348704338074,0.11681055277585983,160.71428571428572
