filename,duration_s,centroid_mean_hz,centroid_std_hz,bandwidth_mean_hz,bandwidth_std_hz,zcr_mean,zcr_std,rms_mean,rms_std,tempo_bpm
Alok - Don t Yaa Jumpix Bootleg.wav,347.5098412698413,2479.390503166882,1285.695569882413,2983.40541131916,939.3378934770263,0.04293092137544683,0.04269560918777038,0.2562987804412842,0.17292580008506775,143.5546875
Best Of You.wav,386.34521541950113,2953.7577365873617,1544.5888062035474,3446.4196096280825,1078.777275013115,0.05152520469135014,0.05032836921380229,0.29492098093032837,0.1674588918685913,143.5546875
Billie Eilish - Bad Guy BackHaze Psytrance Remix.wav,364.4952380952381,2640.354706428501,1795.2468218836482,3170.4623463802695,1370.7489941165952,0.04244127685453561,0.05508650393034273,0.244207963347435,0.14116424322128296,143.5546875
Casino.wav,263.7902947845805,3146.0483702198653,1721.4475115251905,3203.3648327199908,1147.8806921750809,0.07458525104386718,0.06968285718708708,0.25535157322883606,0.1826249361038208,143.5546875
Cloud7 - Lost Cartoon Video.wav,238.20190476190476,3075.204717795098,1281.464983068521,3522.621206520764,859.8376410732927,0.06158288415964032,0.04916191144569539,0.24453185498714447,0.16715788841247559,143.5546875
Cloud7 - Wonderland Cartoon Video.wav,350.6677551020408,2056.543137598402,1556.2709615208437,2524.687537744755,1279.9072933242937,0.03407386763366992,0.03846171487681331,0.3088516592979431,0.1754554957151413,139.6748310810811
Cloud7 Timix - Alone - Official.wav,286.98702947845806,2493.3386029139942,1486.7840212042177,2980.9206208126698,1223.1166689093177,0.046810172368021846,0.04538139563805209,0.23042939603328705,0.16067931056022644,143.5546875
Danny Darko - Butterfly Jumpix Remix.wav,424.60009070294785,2091.0038762061467,1257.4402751225023,2824.562922800874,1170.74332110913,0.027208238702389743,0.0293062748842469,0.3159443438053131,0.15953095257282257,143.5546875
Dont Ya Fabio Fusco Remix.wav,432.77351473922903,3228.6676727559843,1566.22923285752,3540.792067793194,1029.829791128692,0.06045146387182445,0.05550782244353985,0.27898725867271423,0.1561567187309265,139.6748310810811
Ghost Rider Durs - You make me feel Radio mix Official Lyrics Video.wav,152.38095238095238,2271.3902197191924,1482.0722427016533,2742.0944085980836,1152.5353829025998,0.04358202172691605,0.05161707018059492,0.22268657386302948,0.13172797858715057,139.6748310810811
